name,gender,origin,bio,result_group,provenance,licence_text,attribution,image_path
Daniel Day-Lewis,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Bryan Berlin / Wikimedia Commons,data/images/daniel_day_lewis/img_01.png
Gary Oldman,male,hollywood,,male,wikimedia,CC BY-SA 2.0,"Photo by Gage Skidmore from Peoria, AZ, United States of America / Wikimedia Commons",data/images/gary_oldman/img_01.png
Ralph Fiennes,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Steve Disenhof / Wikimedia Commons,data/images/ralph_fiennes/img_01.png
Anthony Hopkins,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Omar David Sandoval Sida / Wikimedia Commons,data/images/anthony_hopkins/img_01.png
Ian McKellen,male,hollywood,,male,wikimedia,CC BY-SA 2.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/ian_mckellen/img_01.png
Michael Caine,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Manfred Werner / Tsui / Wikimedia Commons,data/images/michael_caine/img_01.png
Sean Connery,male,hollywood,,male,wikimedia,Public domain,Photo by Rachel Arroyo / Wikimedia Commons,data/images/sean_connery/img_01.png
Clint Eastwood,male,hollywood,,male,wikimedia,Public domain,Photo by Lance Cpl. Melissa I. Ugalde / Wikimedia Commons,data/images/clint_eastwood/img_01.png
Harrison Ford,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/harrison_ford/img_01.png
"Sylvester
Stallone",male,hollywood,,male,wikimedia,Public domain,Photo by The White House / Wikimedia Commons,data/images/sylvester_stallone/img_01.png
"Arnold
Schwarzenegger",male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Bernhard Holub / Wikimedia Commons,data/images/arnold_schwarzenegger/img_01.png
Bruce Willis,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/bruce_willis/img_01.png
Mel Gibson,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Georges Biard / Wikimedia Commons,data/images/mel_gibson/img_01.png
Keanu Reeves,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Gabriel Hutchinson / Wikimedia Commons,data/images/keanu_reeves/img_01.png
Nicolas Cage,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Georges Biard / Wikimedia Commons,data/images/nicolas_cage/img_01.png
John Travolta,male,hollywood,,male,wikimedia,CC BY 3.0,Photo by Roland Godefroy / Wikimedia Commons,data/images/john_travolta/img_01.png
Patrick Swayze,male,hollywood,,male,wikimedia,CC BY 2.0,"Photo by Conny Liegl from Saarbrücken, Germany / Wikimedia Commons",data/images/patrick_swayze/img_01.png
Kurt Russell,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/kurt_russell/img_01.png
Jeff Bridges,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/jeff_bridges/img_01.png
Jeff Goldblum,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/jeff_goldblum/img_01.png
Bill Murray,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Timelessblue / Wikimedia Commons,data/images/bill_murray/img_01.png
Dan Aykroyd,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Rnunezart / Wikimedia Commons,data/images/dan_aykroyd/img_01.png
John Belushi,male,hollywood,,male,wikimedia,Public domain,Photo by Unknown author Unknown author or not provided / Wikimedia Commons,data/images/john_belushi/img_01.png
Gene Hackman,male,hollywood,,male,wikimedia,Public domain,"Photo by Series: Reagan White House Photographs, 1/20/1981 - 1/20/1989 Collection: White House... / Wikimedia Commons",data/images/gene_hackman/img_01.png
Dustin Hoffman,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Sara Komatsu / Wikimedia Commons,data/images/dustin_hoffman/img_01.png
Michael Douglas,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by User:Janbery / Wikimedia Commons,data/images/michael_douglas/img_01.png
Richard Gere,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/richard_gere/img_01.png
Kevin Costner,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Ariela Ortiz-Barrantes / Wikimedia Commons,data/images/kevin_costner/img_01.png
Tom Cruise,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/tom_cruise/img_01.png
Kevin Bacon,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Bryan Berlin / Wikimedia Commons,data/images/kevin_bacon/img_01.png
Willem Dafoe,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/willem_dafoe/img_01.png
John Malkovich,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Elena Ternovaja / Wikimedia Commons,data/images/john_malkovich/img_01.png
Edward Norton,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Max Surprenant / Wikimedia Commons,data/images/edward_norton/img_01.png
"Philip Seymour
Hoffman",male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Georges Biard / Wikimedia Commons,data/images/philip_seymour_hoffman/img_01.png
Heath Ledger,male,hollywood,,male,wikimedia,CC BY-SA 2.0,Photo by Howie / Wikimedia Commons,data/images/heath_ledger/img_01.png
Jake Gyllenhaal,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by PhilipRomanoPhoto / Wikimedia Commons,data/images/jake_gyllenhaal/img_01.png
Tobey Maguire,male,hollywood,,male,wikimedia,CC BY-SA 2.0,Photo by gdcgraphics / Wikimedia Commons,data/images/tobey_maguire/img_01.png
Andrew Garfield,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Colleen Sturtevant / Wikimedia Commons,data/images/andrew_garfield/img_01.png
Tom Holland,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by PhilipRomano / Wikimedia Commons,data/images/tom_holland/img_01.png
Michael B. Jordan,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/michael_b_jordan/img_01.png
Chadwick Boseman,male,hollywood,,male,wikimedia,CC BY-SA 2.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/chadwick_boseman/img_01.png
Don Cheadle,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by PhilipRomanoPhoto / Wikimedia Commons,data/images/don_cheadle/img_01.png
Forest Whitaker,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/forest_whitaker/img_01.png
Mahershala Ali,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/mahershala_ali/img_01.png
Rami Malek,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/rami_malek/img_01.png
Oscar Isaac,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by LucaFazPhoto / Wikimedia Commons,data/images/oscar_isaac/img_01.png
Pedro Pascal,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Gabriel Hutchinson / Wikimedia Commons,data/images/pedro_pascal/img_01.png
Diego Luna,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/diego_luna/img_01.png
Javier Bardem,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Georges Biard / Wikimedia Commons,data/images/javier_bardem/img_01.png
Antonio Banderas,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Pedro J Pacheco / Wikimedia Commons,data/images/antonio_banderas/img_01.png
"Gael García
Bernal",male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Martin Kraft / Wikimedia Commons,data/images/gael_garc_a_bernal/img_01.png
Christoph Waltz,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by LucaFazPhoto / Wikimedia Commons,data/images/christoph_waltz/img_01.png
Mads Mikkelsen,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by LucaFazPhoto / Wikimedia Commons,data/images/mads_mikkelsen/img_01.png
Cillian Murphy,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Netflix / Wikimedia Commons,data/images/cillian_murphy/img_01.png
Brendan Fraser,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Montclair Film / Wikimedia Commons,data/images/brendan_fraser/img_01.png
Austin Butler,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Gabriel Hutchinson / Wikimedia Commons,data/images/austin_butler/img_01.png
Timothée Chalamet,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/timoth_e_chalamet/img_01.png
Jeremy Renner,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Max Surprenant / Wikimedia Commons,data/images/jeremy_renner/img_01.png
Jason Momoa,male,hollywood,,male,wikimedia,CC BY-SA 2.0,"Photo by Gage Skidmore from Peoria, AZ, United States of America / Wikimedia Commons",data/images/jason_momoa/img_01.png
Dave Bautista,male,hollywood,,male,wikimedia,CC BY 2.0,Photo by Super Festivals / Wikimedia Commons,data/images/dave_bautista/img_01.png
Idris Elba,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Bryan Berlin / Wikimedia Commons,data/images/idris_elba/img_01.png
Daniel Kaluuya,male,hollywood,,male,wikimedia,CC BY-SA 2.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/daniel_kaluuya/img_01.png
Lakeith Stanfield,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/lakeith_stanfield/img_01.png
Katharine Hepburn,female,hollywood,,female,wikimedia,Public domain,Photo by Metro-Goldwyn-Mayer Studios ; Restored by Adam Cuerden / Wikimedia Commons,data/images/katharine_hepburn/img_01.png
Bette Davis,female,hollywood,,female,wikimedia,Public domain,Photo by Studio Publicity / Wikimedia Commons,data/images/bette_davis/img_01.png
Audrey Hepburn,female,hollywood,,female,wikimedia,Public domain,Photo by Bud Fraker (1916-2002) [1] / Wikimedia Commons,data/images/audrey_hepburn/img_01.png
Marilyn Monroe,female,hollywood,,female,wikimedia,Public domain,Photo by Bert Parry / Wikimedia Commons,data/images/marilyn_monroe/img_01.png
Elizabeth Taylor,female,hollywood,,female,wikimedia,Public domain,Photo by Studio publicity still / Wikimedia Commons,data/images/elizabeth_taylor/img_01.png
Grace Kelly,female,hollywood,,female,wikimedia,Public domain,Photo by Sterling Publications-publisher's name on cover in logo near title / Wikimedia Commons,data/images/grace_kelly/img_01.png
Ingrid Bergman,female,hollywood,,female,wikimedia,Public domain,Photo by Whitey Schafer / Wikimedia Commons,data/images/ingrid_bergman/img_01.png
Sophia Loren,female,hollywood,,female,wikimedia,CC BY 2.0,"Photo by Nuță Lucian from Cluj-Napoca, Romania / Wikimedia Commons",data/images/sophia_loren/img_01.png
Jane Fonda,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Colleen Sturtevant / Wikimedia Commons,data/images/jane_fonda/img_01.png
Meryl Streep,female,hollywood,,female,wikimedia,CC BY-SA 4.0,"Photo by Ministry of culture, sports and Tourism- Lee Jeong-woo / Wikimedia Commons",data/images/meryl_streep/img_01.png
Jodie Foster,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Claire Fridkin / Wikimedia Commons,data/images/jodie_foster/img_01.png
Susan Sarandon,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Pedro J Pacheco / Wikimedia Commons,data/images/susan_sarandon/img_01.png
Diane Keaton,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by es:Ruven Afanador / Wikimedia Commons,data/images/diane_keaton/img_01.png
Glenn Close,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Max Surprenant / Wikimedia Commons,data/images/glenn_close/img_01.png
Jessica Lange,female,hollywood,,female,wikimedia,CC BY-SA 2.0,Photo by iDominick / Wikimedia Commons,data/images/jessica_lange/img_01.png
Sally Field,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/sally_field/img_01.png
Sissy Spacek,female,hollywood,,female,wikimedia,CC BY 2.0,Photo by David Shankbone / Wikimedia Commons,data/images/sissy_spacek/img_01.png
Goldie Hawn,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by Peabody Awards / Wikimedia Commons,data/images/goldie_hawn/img_01.png
Michelle Pfeiffer,female,hollywood,,female,wikimedia,CC BY 3.0,Photo by joyparris / Wikimedia Commons,data/images/michelle_pfeiffer/img_01.png
Sigourney Weaver,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Desmond Herzfelder / Wikimedia Commons,data/images/sigourney_weaver/img_01.png
Geena Davis,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/geena_davis/img_01.png
Julia Roberts,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Colleen Sturtevant / Wikimedia Commons,data/images/julia_roberts/img_01.png
Sandra Bullock,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/sandra_bullock/img_01.png
Nicole Kidman,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Martin Kraft / Wikimedia Commons,data/images/nicole_kidman/img_01.png
Cate Blanchett,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/cate_blanchett/img_01.png
Charlize Theron,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by PhilipRomano / Wikimedia Commons,data/images/charlize_theron/img_01.png
Halle Berry,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/halle_berry/img_01.png
Angela Bassett,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Gabriel Hutchinson / Wikimedia Commons,data/images/angela_bassett/img_01.png
Viola Davis,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Nomoretitanic / Wikimedia Commons,data/images/viola_davis/img_01.png
Octavia Spencer,female,hollywood,,female,wikimedia,Public domain,Photo by Aubrey Gemignani / Wikimedia Commons,data/images/octavia_spencer/img_01.png
Regina King,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/regina_king/img_01.png
Jennifer Lawrence,female,hollywood,,female,wikimedia,CC BY 3.0,Photo by MTV International / Wikimedia Commons,data/images/jennifer_lawrence/img_01.png
"Scarlett
Johansson",female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/scarlett_johansson/img_01.png
Natalie Portman,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Colleen Sturtevant / Wikimedia Commons,data/images/natalie_portman/img_01.png
Anne Hathaway,female,hollywood,,female,wikimedia,CC BY-SA 4.0,"Photo by Ministry of culture, sports and Tourism- Lee Jeong-woo / Wikimedia Commons",data/images/anne_hathaway/img_01.png
Emma Stone,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/emma_stone/img_01.png
Jennifer Aniston,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by Angela George / Wikimedia Commons,data/images/jennifer_aniston/img_01.png
Reese Witherspoon,female,hollywood,,female,wikimedia,CC BY-SA 2.0,Photo by GabboT / Wikimedia Commons,data/images/reese_witherspoon/img_01.png
Cameron Diaz,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/cameron_diaz/img_01.png
Drew Barrymore,female,hollywood,,female,wikimedia,CC BY-SA 2.0,Photo by Eva Rinaldi / Wikimedia Commons,data/images/drew_barrymore/img_01.png
Meg Ryan,female,hollywood,,female,wikimedia,CC BY 3.0,Photo by David Shankbone / Wikimedia Commons,data/images/meg_ryan/img_01.png
Demi Moore,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Gabriel Hutchinson / Wikimedia Commons,data/images/demi_moore/img_01.png
Sharon Stone,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Gabriel Hutchinson / Wikimedia Commons,data/images/sharon_stone/img_01.png
Kim Basinger,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/kim_basinger/img_01.png
Uma Thurman,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by PhilipRomanoPhoto / Wikimedia Commons,data/images/uma_thurman/img_01.png
Winona Ryder,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/winona_ryder/img_01.png
Renée Zellweger,female,hollywood,,female,wikimedia,CC BY 3.0,Photo by Siebbi / Wikimedia Commons,data/images/ren_e_zellweger/img_01.png
Julianne Moore,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/julianne_moore/img_01.png
Laura Dern,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Bryan Berlin / Wikimedia Commons,data/images/laura_dern/img_01.png
Frances McDormand,female,hollywood,,female,wikimedia,CC BY-SA 2.0,Photo by Red Carpet Report on Mingle Media TV / Wikimedia Commons,data/images/frances_mcdormand/img_01.png
Tilda Swinton,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Danielle Varenhorst / Wikimedia Commons,data/images/tilda_swinton/img_01.png
Rachel Weisz,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/rachel_weisz/img_01.png
Kate Winslet,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Colleen Sturtevant / Wikimedia Commons,data/images/kate_winslet/img_01.png
Keira Knightley,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by The Standard / Wikimedia Commons,data/images/keira_knightley/img_01.png
Emily Blunt,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/emily_blunt/img_01.png
Rachel McAdams,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/rachel_mcadams/img_01.png
Amy Adams,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Sara Komatsu / Wikimedia Commons,data/images/amy_adams/img_01.png
Jessica Chastain,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/jessica_chastain/img_01.png
Brie Larson,female,hollywood,,female,wikimedia,Public domain,Photo by 2d Lt Jessica Cicchetto / Wikimedia Commons,data/images/brie_larson/img_01.png
Lupita Nyong'o,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by PhilipRomano / Wikimedia Commons,data/images/lupita_nyongo/img_01.png
Margot Robbie,female,hollywood,,female,wikimedia,CC0,Photo by Ondine Goat / Wikimedia Commons,data/images/margot_robbie/img_01.png
Anya Taylor-Joy,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Sara Komatsu / Wikimedia Commons,data/images/anya_taylor_joy/img_01.png
Florence Pugh,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Frank Sun / Wikimedia Commons,data/images/florence_pugh/img_01.png
Saoirse Ronan,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Martin Kraft / Wikimedia Commons,data/images/saoirse_ronan/img_01.png
Zendaya,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by PhilipRomano / Wikimedia Commons,data/images/zendaya/img_01.png
Emma Watson,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by Georges Biard / Wikimedia Commons,data/images/emma_watson/img_01.png
Kristen Stewart,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/kristen_stewart/img_01.png
Dakota Johnson,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Gabriel Hutchinson / Wikimedia Commons,data/images/dakota_johnson/img_01.png
Elle Fanning,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/elle_fanning/img_01.png
Dakota Fanning,female,hollywood,,female,wikimedia,CC0,Photo by Crislapi3 / Wikimedia Commons,data/images/dakota_fanning/img_01.png
Angelina Jolie,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/angelina_jolie/img_01.png
Salma Hayek,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Martin Kraft / Wikimedia Commons,data/images/salma_hayek/img_01.png
Penélope Cruz,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Pedro J Pacheco / Wikimedia Commons,data/images/pen_lope_cruz/img_01.png
Zoe Saldaña,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Kevin Payravi / Wikimedia Commons,data/images/zoe_salda_a/img_01.png
Eva Mendes,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Nicolas Genin / Wikimedia Commons,data/images/eva_mendes/img_01.png
Eva Longoria,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/eva_longoria/img_01.png
Jennifer Lopez,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Everwest / Wikimedia Commons,data/images/jennifer_lopez/img_01.png
"Priyanka
Chopra Jonas",female,hollywood,,female,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/priyanka_chopra_jonas/img_01.png
Mindy Kaling,female,hollywood,,female,wikimedia,CC BY 2.0,Photo by US Department of Education / Wikimedia Commons,data/images/mindy_kaling/img_01.png
Awkwafina,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/awkwafina/img_01.png
